id	name	kana	weather	sky_name	emotion	emotion_description	soranoeki_sky	soranoeki_sky_description	fortune_message	advice_message	lucky_action	lucky_item	lucky_color	lucky_place	archetype_1	archetype_2	archetype_3	character_name	sky_character_name	catch_copy	species	species_8	species_category_1	species_category_2	title	character_comment_1	character_comment_2	feeling_ kawaii	feeling	impulse	action	color	emotion_type	rank	rarity	fortune_score_1	fortune_score_2	energy	love	work	money	growth	healing	challenge	attribute	energy	love	work	money	growth	healing	challenge
1	乾為天	けんいてん	晴	創高空	高揚感	まっすぐ空へ昇っていく感覚	無限に澄み切った高天	澄み切った高天がどこまでも広がり新しい可能性が目を覚ましている	今日は新しい風が吹き込みそう。思いついたことは試してみよう。	完璧を待たず最初の一歩を大切に。	新しいことをひとつ始める	白い羽根	ゴールド	高台	創造	はじめる人	はじまりやさん	ソラル	空かける人		創空族	創空族	天空精	天空精	はじまりを呼ぶ空の子	なんか始まりそう…！	なんか始まりそう…！	わくわく	ワクワクしている	はじめたい	やってみる…！	gold	CLEAR	SSR	SSR	98	98	100	80	95	88	100	65	100	CREATION	98	72	95	88	100	55	90
2	坤為地	こんいち	曇	曇広空	包容感	やさしく包まれて安心する感覚	低く広がる受容の雲床	厚い雲が大地をやさしく包み受け入れる力を育てている	心をゆるめることで良い流れが入ってきそう。	無理に進まず受け取る姿勢を大切に。	好きな飲み物でひと休みする	ブランケット	ベージュ	草原	受容	うけとめる人	うけとめやさん	モクモ	雲だきの人		受雲族	受雲族	雲精	雲精	やさしく包む雲の子	ほっとする…	だいじょうぶだよ…	ほっこり	安心している	受け入れたい	だいじにする…	sand	CLOUD	SSR	SSR	90	90	55	95	80	82	85	100	45	HARMONY	68	95	75	82	85	100	35
3	水雷屯	すいらいちゅん	雷	雷乱空	戸惑い	始まりの混乱に飲まれる感覚	乱層に走る初動の閃光	雷鳴が遠くで響き混沌の中から始まりが生まれようとしている	始まりの混乱があっても大丈夫。少しずつ道が見えてくるよ。	焦らず目の前の一歩だけ見よう。	やることを一つだけ決める	懐中電灯	イエロー	交差点	混沌	まよいながら進む人	まよいあるきさん	ライチュン	雷さがしの人		雷芽族	雷芽族	雷精	雷精	迷いを越える雷の子	どうしよう…！	こわくても進む…！	どきどき	戸惑っている	進みたい	いってみる…！	electric	LIGHTNING	R	R	74	74	78	60	65	58	98	50	92	TRIAL	62	65	70	68	92	55	98
4	山水蒙	さんすいもう	曇	白霧空	好奇心	まだ何も見えない霧の感覚	視界を閉ざす未分化の白層	霧が景色を隠し学びへの入口を静かに示している	新しい学びとの出会いがありそうな日。	わからないことを楽しむ気持ちを忘れずに。	気になったことを調べる	小さなノート	ミストホワイト	図書館	未熟	しりたがる人	しりたいこ	キリル	霧たどる人		霞雲族	受雲族	霧精	霧精	ふしぎを集める霧の子	わからない…	まだわかんない…！	ふしぎ	知りたがっている	知りたい	しりたい…	mist	CLOUD	SR	R	76	76	60	68	75	60	100	62	72	GROWTH	70	72	68	65	95	70	80
5	水天需	すいてんじゅ	雨	待雨空	忍耐感	静かに待ち続ける感覚	降下直前で張りつめた湿層	雨雲は満ちているがまだ降らず時を待つ力を教えている	待つことにも意味がある一日。	答えを急がず流れを信じてみよう。	空を見上げる	腕時計	スカイブルー	バス停	待機	まつ人	まちまちさん	アメマチ	雨まちの人		雨流族	雨巡族	雨精	雨精	時を待つ雨の子	まだかな…	もうちょっとだけ…	そわそわ	待っている	待ちたい	まだかな…	teal	MIXED	SR	R	78	78	52	72	70	68	88	85	60	STABILITY	65	78	75	80	85	88	60
6	天水訟	てんすいしょう	雷	流雷空	苛立ち	気持ちがぶつかり合う感覚	衝突する対流層	異なる流れがぶつかり空に緊張が走っている	意見の違いが見えやすい日。	感情より事実を大切にすると◎。	言葉を選んで伝える	青いペン	ストームグレー	橋の上	対立	つたえる人	ちゃんというさん	ライロン	雷ことばの人		閃雷族	雷芽族	雷精	雷精	想いを伝える雷の子	なんかピリピリする…	ちゃんと言う…！	むずむず	イライラしている	伝えたい	ちゃんと言う…	storm	MIXED	R	R	68	68	72	55	68	62	75	45	80	TRIAL	72	55	68	62	82	45	95
7	地水師	ちすいし	雨	重陣空	緊張感	集団の重圧を背負う感覚	重圧を背負う集団雲	重い雲の下で仲間たちが進む覚悟を固めている	責任ある役割が回ってきそう。	一人で抱え込まず仲間を信じよう。	誰かを手伝う	リュックサック	ダークグレー	広場	責任	ささえる人	ささえやさん	グラン	雲ささえの人		守雲族	受雲族	雲精	土雲精	みんなを支える雲の子	行かなきゃ…	がんばる…！	きりっ	背負っている	支えたい	がんばる…！	gray	CLOUD	R	R	72	72	70	65	78	65	82	55	85	ACTION	80	65	88	70	75	55	85
8	水地比	すいちひ	雨	寄添空	親近感	誰かと寄り添いたい感覚	寄り添って満ちる湿気	静かな雨が人と人を近づけ安心を育てている	人とのつながりが心を温めてくれる日。	近くの人との縁を大切に。	感謝を伝える	ペアマグカップ	ターコイズ	カフェ	親和	よりそう人	よりそいさん	シズク	雨やどりの人		寄雨族	雨巡族	雨精	雨精	寄り添う雨の子	一緒だ…	そばにいる…	あんしん	寄り添いたがっている	つながりたい	そばにいる…	teal	CLOUD	SR	R	88	88	62	98	75	72	80	95	55	RELATION	72	96	72	75	80	88	45
9	風天小畜	ふうてんしょうちく	風	蓄風空	落ち着き	少しずつ整っていく感覚	少しずつ整う風の上層	風は静かに力をため次の動きを待っている	少しずつ整っていく流れ。	小さな積み重ねを信じて続けよう。	机の上を片付ける	貯金箱	リーフグリーン	庭	調整	ためる人	ためためさん	フワリ	風ための人		蓄風族	風旅族	風精	風精	力をためる風の子	まだかな…	まだかな…	こつこつ	整えている	ためたい	ためてる…	leafgreen	WIND	SR	R	82	82	75	72	82	78	88	72	65	STABILITY	72	78	80	82	78	85	50
10	天沢履	てんたくり	風	慎歩空	慎重さ	慎重に一歩を踏み出す感覚	慎重に踏み出す朝の光	足元を確かめながら慎重に前へ進む空気が流れている	慎重さが力になる日。	急がず確認しながら進もう。	靴を整える	歩きやすい靴	アンバー	石畳	緊張	たしかめる人	そーっとさん	アシタ	空あしの人		歩空族	創空族	天空精	天空精	慎重に歩く空の子	こわい…	そーっと…	しんちょう	慎重になっている	慎みたい	そーっと…	amber	EARTH	SR	R	80	80	72	70	85	75	82	65	72	STABILITY	75	75	82	78	76	80	60
